Nome do Campeonato:	Campeonato Interno Clube Jundiaiense									
Ano:	2018									
JOGOS										
jogo_nro	data	hora	local	time_mandante	gol_mandante	gol_visitante	time_visitante	rodada	fase	grupo
18	24/03/2018	13:45	Campo B	Lokomotiv	3	1	Galoucos e Danone	3	Primeira Fase	Série Bronze
19	24/03/2018	13:45	Campo C	Clássicos	1	4	Santa Cruz	3	Primeira Fase	Série Bronze
20	24/03/2018	15:15	Campo C	Rock na Teia	1	3	Brasil	3	Primeira Fase	Série Bronze
21	24/03/2018	16:45	Campo C	Íbis Barcelona	2	2	Fenerbate	3	Primeira Fase	Série Bronze
22	07/04/2018	11:00	Campo B	Galaxie 70	1	4	Tio Dirdo	2	Primeira Fase	Série Diamante
23	07/04/2018	11:00	Campo C	Bayern	2	2	Alianza	2	Primeira Fase	Série Diamante
24	07/04/2018	11:00	Campo D	Barcelona	1	2	Náutico	2	Primeira Fase	Série Diamante
25	07/04/2018	13:45	Campo D	River Plate	4	1	Dudinka	2	Primeira Fase	Sério Ouro
26	07/04/2018	15:15	Campo B	Parathinaikos	4	3	Sinistro	2	Primeira Fase	Sério Ouro
27	07/04/2018	16:45	Campo B	All Blacks	5	1	Tio Dirdo I	2	Primeira Fase	Sério Ouro
28	07/04/2018	13:45	Campo B	Colo-Colo	0	0	Everest	2	Primeira Fase	Sério Prata
29	07/04/2018	13:45	Campo C	Tsunami	3	1	Corinthians	2	Primeira Fase	Sério Prata
30	07/04/2018	13:45	Campo E	Mitos	1	2	Celeste	2	Primeira Fase	Sério Prata
31	07/04/2018	15:15	Campo C	Clássicos	2	1	Fenerbate	4	Primeira Fase	Série Bronze
32	07/04/2018	15:15	Campo D	Rock na Teia	1	7	Lokomotiv	4	Primeira Fase	Série Bronze
33	07/04/2018	15:15	Campo E	Brasil	1	1	Sabadão	4	Primeira Fase	Série Bronze
34	07/04/2018	16:45	Campo C	Santa Cruz	3	2	Galoucos e Danone	4	Primeira Fase	Série Bronze
35	14/04/2018	11:00	Campo B	Real	0	2	Alianza	3	Primeira Fase	Série Diamante
36	14/04/2018	11:00	Campo C	Barcelona	1	2	Tio Dirdo	3	Primeira Fase	Série Diamante
